Group,Nom,Nationalité,DDN,Titre,TypeDesign,TypeDesignCode,DDC,Acquisition,Dimensions,MST,DCU,DAU,TypeAcquisition,Sexe,img,,,,
59,Léon JOUHAUD,française,"1874, Limoges (Haute-Vienne, France) - 1950, ?",Femme à sa toilette,Design Graphique/ Illustration,2,1912,"Achat de l'Etat, 1913
Attribution, 1916","13,1 x 10 x 1 cm",Email et cuivre patiné,1912,1916,Etat,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
60,François DECORCHEMONT,française,"1880, Conches (Seine-et-Marne, France) - 1971, Conches (Seine-et-Marne, France)",Coupe,Design d'Objet,3,1912,"Achat de l'Etat, 1912
Attribution, 1913","hauteur: 13,2 cm",Pâte de verre teintée,1912,1913,Etat,Homme,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
61,Georges BASTARD,française,"1881, Andeville (Oise, France) - 1939, Espagne",Coupe-papier,Design d'Objet,3,1912,"Achat de l'Etat, 1912
Attribution, 1913","1,2 x 34,2 cm",Nacre sculptée,1912,1913,Etat,Homme,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
62,Emile DECOEUR,française,"1876, Paris (France) - 1953, Fontenay-aux-Roses (Hauts-de-Seine, France)",Gobelet,Design d'Objet,3,1912,Legs de M. Atherton Curtis en 1957,"hauteur: 7,3 cm",Grès émaillé,1912,1957,Legs,Homme,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
63,Emile DECOEUR,française,"1876, Paris (France) - 1953, Fontenay-aux-Roses (Hauts-de-Seine, France)",Vase gourde,Design d'Objet,3,1912,Legs de M. Atherton Curtis en 1957,"hauteur: 14,5 cm",Grès émaillé,1912,1957,Legs,Homme,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
64,"Mikhail F. LARIONOV, Alexeï KROUTCHONYKH (Alexeï Elisséïevitch KROUTCHONYKH, dit)",russe,,"Starinnaia lioub
(L'Amour d'autrefois)",Design Graphique/ Illustration,2,1912,"Legs de Nina Kandinsky, 1981","14,5 x 9,8 x 0,2 cm",Lithographies sur papier,1912,1981,Legs,Studio/ Group,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
65,"Natalia GONTCHAROVA, Alexeï KROUTCHONYKH (Alexeï Elisséïevitch KROUTCHONYKH, dit), Vélimir KHLEBNIKOV (Viktor Vladimirovitch KHLEBNIKOV, dit)",russe,,"Igra v Adou
(Jeu en enfer)",Design Graphique/ Illustration,2,1912,"Legs de Nina Kandinsky, 1981","17,7 x 14,6 x 0,3 cm",Lithographie sur papier,1912,1981,Legs,Studio/ Group,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
66,"Natalia GONTCHAROVA, Mikhail F. LARIONOV, Alexeï KROUTCHONYKH (Alexeï Elisséïevitch KROUTCHONYKH, dit)",russe,,"Poustynniki : Poema
(Les Ermites : poème)",Design Graphique/ Illustration,2,1912,"Legs de Nina Kandinsky, 1981","19,3 x 14,6 x 0,6 cm",Lithographies sur papier,1912,1981,Legs,Studio/ Group,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
67,ANONYME,unkown,,Fer à repasser,Design Industriel,4,vers 1912,Inscription à l'inventaire en 2000,"13 x 9,5 x 17 cm",Métal et bois,1912,2000,Inscription,Unknown,http://localhost/Graphique%20Pompidou/Extra/industrie.svg,,,,
68,François DECORCHEMONT,française,"1880, Conches (Seine-et-Marne, France) - 1971, Conches (Seine-et-Marne, France)",Coupe,Design d'Objet,3,1913,"Achat de l'Etat, 1914
Attribution, 1920","hauteur: 7,3 cm",Pâte de verre teintée,1913,1920,Etat,Homme,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
